id,Timestamp,Представьтесь в 2-3 фразах,Работали ли Вы с Jupyter notebooks?,Что Вы ждете от курса?,Потом мы прямо этот же набор данных поанализируем с Pandas. Так что какой Ваш любимый вид спорта?,"Ладно, посерьезней: согласны ли Вы на обработку персональных данных?","Какие оцениваете свой уровень математической подготовки? (матан, линал, теорвер)","Чему равна дисперсия равномерного на [0,6] распределения?","Найдите минимум функции 3x^4-8x^3+6x^2-12 на отрезке [-3,3]",Сколько параметров у нормального распределения?,Сможете написать на Python генератор чисел Фибоначчи?,"Хорошо, а готовы к началу курса (6 сентября 2017) освоить азы Python? На уровне Code Academy, DataCamp или github.com/Yorko/python_intro",Оцените свой уровень владения GitHub,"Посоветуйте хороший фильм в стиле ""Игра в имитацию"" :)"
3144,2017/09/10 9:03:31 pm GMT+3,студент,Да,получения новых знаний,вейкбординг,Да,2,0.5,-12,4.0,Да,Да,По нулям,Игры разума
3145,2017/09/10 9:13:51 pm GMT+3,"Студентка ИТМО, направления интеллектуальные системы",Да,улучшения навыков и получения новых знаний,,Да,2,0.5,-12,4.0,Да,уже освоила,По нулям,
3147,2017/09/10 9:28:01 pm GMT+3,Разработчик ПО (Python),Нет,Повышение квалификации как IT специалиста в сторону ML,Плавание,Да,2,0.5,-12,2.0,Да,Да,Проф,Игры разума
3148,2017/09/10 9:34:40 pm GMT+3,Анналитик со стажем,Нет,Повышения квалификации,теннис,Да,3,3,,2.0,Нет,Нет,"Пользуюсь ветками, могу что-то смерджить",
3149,2017/09/10 10:22:00 pm GMT+3,Студент магистратуры СПБГУ матобес. Работаю в области обработки текста.,Да,Углубление знаний в ML и алгоритмах.,kaggle,Да,3,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить","Не тот жанр, но все равно классный. Паттерсон"
3150,2017/09/10 11:43:37 pm GMT+3,Окончила мех-мат МГУ. Работаю аналитиком в tutu.ru,Да,Получение основ по data science,Сноуборд,Да,4,3,-12,2.0,Да,Да,Могу редактировать свою копию,Игры разума
3151,2017/09/10 11:51:09 pm GMT+3,"Студент МФТИ, 6 курс. Интересно узнать больше о ML.",Нет,"Узнать на деле о ML, попробовать на практике. ",,Да,4,,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",
3152,2017/09/10 11:56:37 pm GMT+3,Работаю с хранилищами в банке. Думаю немного поменять специальность.,Да,Хочу улучшить понимание этой специальности. ,Футбол,Да,3,3,-12,2.0,Да,Да,Могу скачать материалы,Whiplash
3153,2017/09/10 11:58:31 pm GMT+3,Молодой разработчик в сфере системного по,Нет,"Получить удовольствие от получения новых навыков, попробовать себя в иной сфере.",snowboarding,Да,3,0.5,-12,2.0,Да,Уже освоен,Проф,Вселенная Стивена Хокинга
3155,2017/09/11 12:34:08 am GMT+3,"Web-аналитик, с хорошим чувством юмора.",Нет,"Знаний, практических примеров, которые можно применить в любой сфере. ",регби,Да,1,0.5,-12,2.0,Нет,к 6 уже не успею,Могу редактировать свою копию,Игра на понижение
3156,2017/09/11 12:59:27 am GMT+3,"Студент ЧелГУ. Умом, знаниями и памятью не блещу. Изучать машинное обучение предложил мой научный руководитель. Благодарна ему за свою курсовую работу ""Определение победителя в Dota2 по первым 5 минутам с помощью логистической регрессии"" и ВКР ""Синтез текстур с помощью нейронных сетей"". Хочу диссертацию в том же духе. ",Да,"Заполнить пробелы в учёбе, вдохновиться на диссер. ",Сон,Да,3,3,-12,2.0,Да,Да,Могу скачать материалы,
3157,2017/09/11 1:15:52 am GMT+3,"8 лет работаю программистом, большую чать этого времени - пишу электронные магазины. В 2013 году закончил вторую магистратуру в Лион 2 по экономической статистике, но продолжил программировать на PHP. Имею желание углубить и расширить знания в Data Science с целью дальнейшей смены специализации. ",Да,Получить базовый набор навыков и направление развития для работы c  Data Science.,Настольный теннис,Да,3,3,-12,2.0,Да,Да,Проф,"Это не точно по теме, но пусть будет ""Зеркальная маска"", и Le Roman de Renard, в версии Ладислава Старевича."
